code,num
C1072,1139.244400852024
C1128,1139.244400852024
C1456,1139.244400852024
C1840,1139.244400852024
C1332,1139.244400852024
C1563,1139.2444008520238
C1794,1139.244400852024
C1640,1139.244400852024
C1377,1139.583535633987
C2072,1139.583535633987
C1472,1139.244400852024
C1006,1402.1622808751524
C1083,2566.7009557846964
C1311,1139.583535633987
C2676,1445.5187137171104
C2318,1079.026203201295
C1603,2520.6717070082427
C2523,1139.583535633987
C2177,1335.3464732208427
C2411,1139.244400852024
C2033,1427.5696144515284
C1604,1139.244400852024
C2535,1139.244400852024
C1040,1139.244400852024
C2417,1139.244400852024
C1812,1348.871949806326
C2253,2501.1971723423735
C1294,1139.244400852024
C1772,1139.244400852024
C2646,1139.244400852024
C1152,1139.244400852024
C2423,2195.140998545964
C1844,2520.6717070082427
C1318,1076.5012678654866
C1729,2425.4412198922237
C1602,2521.2124105532816
C1239,1139.244400852024
C1721,1139.244400852024
C1902,1139.244400852024
C1855,1139.583535633987
C2600,1139.244400852024
C1071,1139.244400852024
C2295,1139.244400852024
C1621,1139.244400852024
C1852,1139.244400852024
C2555,1139.244400852024
C1297,1139.583535633987
C2323,1139.244400852024
C2215,1139.244400852024
C2112,1139.583535633987
C1830,1145.7509981860865
C2602,1139.583535633987
C2608,1139.244400852024
C1215,1145.7509981860865
C2369,1139.244400852024
C1158,1076.5012678654866
C1887,1145.7509981860862
C1189,1139.583535633987
C1637,1139.244400852024
C1225,1076.5012678654866
C2374,1139.583535633987
C2397,1139.244400852024
C1105,1139.2444008520238
C1782,1139.244400852024
C1629,1076.5012678654866
C1708,1139.583535633987
C2144,1139.244400852024
C1617,1145.7509981860865
C1149,1139.244400852024
C1323,1139.244400852024
C1064,1139.244400852024
C1019,1139.583535633987
C2269,1139.2444008520238
C1416,1139.244400852024
C1250,1139.244400852024
C1741,2521.2124105532816
C1016,1145.7509981860865
C2436,1139.244400852024
C2039,1145.7509981860865
C1253,1145.7509981860865
C2028,1139.244400852024
C1166,1139.583535633987
C1135,1076.5012678654866
C1216,1139.583535633987
C1593,1076.5012678654866
C1826,1076.5012678654866
C1827,1139.244400852024
C1564,1139.583535633987
C1495,1139.244400852024
C2653,1139.244400852024
C1392,1139.244400852024
C2128,1139.583535633987
C1282,1139.244400852024
C1521,1139.244400852024
C2076,1139.244400852024
C1060,1139.244400852024
C2473,1139.2444008520238
C2557,1139.244400852024
C1835,1139.244400852024
C2224,1139.244400852024
C2222,1139.583535633987
C2430,1139.244400852024
C2497,1139.244400852024
C1494,1139.244400852024
C1457,1139.244400852024
C1525,1145.7509981860862
C1712,1139.244400852024
C2267,1139.2444008520238
C1623,1076.5012678654866
C2131,1139.244400852024
C2691,1139.244400852024
C1147,1139.244400852024
C1692,1139.244400852024
C1570,1139.244400852024
C1474,1076.5012678654866
C1633,1076.5012678654866
C2113,1139.244400852024
C2175,1139.244400852024
C2303,1139.244400852024
C2547,1139.244400852024
C2292,1139.244400852024
C1496,1139.244400852024
C1289,1139.244400852024
C1849,1139.244400852024
C1003,1139.244400852024
C2268,1139.2444008520238
C2551,1139.244400852024
C2688,1076.5012678654866
C1030,1079.026203201295
C2451,1139.583535633987
C1749,1139.244400852024
C1349,1139.583535633987
C2043,1139.583535633987
C1229,1139.583535633987
C2363,1139.244400852024
C1414,1139.244400852024
C2174,1139.244400852024
C2091,1076.5012678654866
C1841,1076.5012678654866
C2404,1076.501267865486
C1683,1139.583535633987
C1038,1139.244400852024
C2456,1139.583535633987
C1266,1139.244400852024
C2152,1402.5508562149873
C1267,1258.3870510997533
C2189,1139.583535633987
C2675,0
C2335,0
C1327,0
